행정동,도로명주소,지번주소,위도,경도,데이터기준일자
당산제1동,서울특별시 영등포구 당산로27길 7,서울특별시 영등포구 당산동3가 363,37.5249831,126.8955041,2023-09-01
당산제1동,서울특별시 영등포구 국회대로30길 14,서울특별시 영등포구 당산동3가 395-3,37.52698911,126.8953256,2023-09-01
당산제1동,서울특별시 영등포구 영신로39길 14-1,서울특별시 영등포구 당산동1가 155-2,37.52182447,126.8996821,2023-09-01
당산제1동,서울특별시 영등포구 영등포로28길 5,서울특별시 영등포구 당산동1가 9-1,37.51995668,126.899242,2023-09-01
당산제2동,서울특별시 영등포구 당산로40길 4,서울특별시 영등포구 당산동4가 32-1,37.52975796,126.8993447,2023-09-01
당산제2동,서울특별시 영등포구 당산로40길 12,서울특별시 영등포구 당산동4가 32-198,37.52943944,126.8999691,2023-09-01
당산제2동,서울특별시 영등포구 당산로36길 9-6,서울특별시 영등포구 당산동4가 32-81,37.52832949,126.8991051,2023-09-01
당산제2동,서울특별시 영등포구 당산로36길 13,서울특별시 영등포구 당산동4가 32-95,37.52795534,126.8992552,2023-09-01
당산제2동,서울특별시 영등포구 당산로35길 8,서울특별시 영등포구 당산동4가 73-15,37.52907415,126.8970007,2023-09-01
당산제2동,서울특별시 영등포구 당산로41가길 7,서울특별시 영등포구 당산동4가 80-5,37.53101151,126.8973478,2023-09-01
당산제2동,서울특별시 영등포구 당산로50가길 10,서울특별시 영등포구 당산동6가 3-4,,,2023-09-01
당산제2동,서울특별시 영등포구 당산로50길 18,서울특별시 영등포구 당산동6가 237-6,37.53388688,126.9043267,2023-09-01
당산제2동,서울특별시 영등포구 당산로46가길 7,서울특별시 영등포구 당산동6가 237-17,37.53407081,126.9039207,2023-09-01
당산제2동,서울특별시 영등포구 당산로50길 7-1,서울특별시 영등포구 당산동6가 185,37.53481676,126.9038279,2023-09-01
당산제2동,서울특별시 영등포구 당산로50길 7-5,서울특별시 영등포구 당산동6가 103-17,37.53481324,126.9043764,2023-09-01
당산제2동,서울특별시 영등포구 양평로12가길 3,서울특별시 영등포구 당산동6가 344-8,,,2023-09-01
당산제2동,서울특별시 영등포구 국회대로53길 20,서울특별시 영등포구 당산동 121-22,,,2023-09-01
당산제2동,서울특별시 영등포구 국회대로55길 29,서울특별시 영등포구 당산동 121-119,37.52780203,126.9073376,2023-09-01
당산제2동,서울특별시 영등포구 국회대로53길 28-4,서울특별시 영등포구 당산동 173-20,37.52788198,126.9068099,2023-09-01
당산제2동,서울특별시 영등포구 당산로54길 32,서울특별시 영등포구 당산동6가 110-71,37.53350421,126.9059909,2023-09-01
당산제2동,서울특별시 영등포구 버드나루로16길 5,서울특별시 영등포구 당산동 121-140,37.52670488,126.9092014,2023-09-01
당산제2동,서울특별시 영등포구 국회대로 53길 24-10,서울특별시 영등포구 당산동 171-30,,,2023-09-01
당산제2동,서울특별시 영등포구 당산로 50길 17-1,서울특별시 영등포구 당산동6가 104-16,,,2023-09-01
당산제2동,"서울특별시 영등포구 당산로 229, 7번출구","서울특별시 영등포구 당산동6가 323-1, 7번출구",,,2023-09-01
도림동,서울특별시 영등포구 도영로11길 3,서울특별시 영등포구 도림동 206-8,37.51017958,126.8978254,2023-09-01
도림동,서울특별시 영등포구 도영로11길 8-8,서울특별시 영등포구 도림동 187-61,37.51076112,126.8975602,2023-09-01
도림동,서울특별시 영등포구 도영로7길 12-7,서울특별시 영등포구 도림동 202-43,37.50978248,126.8960392,2023-09-01
도림동,서울특별시 영등포구 도신로15길 36,서울특별시 영등포구 도림동 226-13,37.50820309,126.8967351,2023-09-01
도림동,서울특별시 영등포구 도림로113길 3,서울특별시 영등포구 도림동 156-3,37.50867934,126.8995338,2023-09-01
도림동,서울특별시 영등포구 도신로15나길 13-9,서울특별시 영등포구 도림동 247-31,37.50702025,126.8990279,2023-09-01
도림동,서울특별시 영등포구 도신로19길 6,서울특별시 영등포구 도림동 246-25,37.5070685,126.9005757,2023-09-01
도림동,서울특별시 영등포구 도림로108가길 2,서울특별시 영등포구 도림동 152-124,37.50763959,126.9015806,2023-09-01
도림동,서울특별시 영등포구 도림로112길 6,서울특별시 영등포구 도림동 154-21,37.50862949,126.9008946,2023-09-01
도림동,서울특별시 영등포구 도신로15가길 2,서울특별시 영등포구 도림동 250-11,37.50608107,126.8989617,2023-09-01
도림동,,서울특별시 영등포구 도림동 147-75,37.50771755,126.9025243,2023-09-01
도림동,서울특별시 영등포구 영신로1길 8-5,서울특별시 영등포구 도림동 30,37.51121793,126.9088842,2023-09-01
도림동,서울특별시 영등포구 도림로112길 18,서울특별시 영등포구 도림동 144-185,37.50903795,126.9020101,2023-09-01
도림동,서울특별시 영등포구 도림로113길 17,서울특별시 영등포구 도림동 234-1,37.50882997,126.8979351,2023-09-01
도림동,서울특별시 영등포구 도신로15라길 2,서울특별시 영등포구 도림동 232,37.50702242,126.8978818,2023-09-01
도림동,서울특별시 영등포구 도영로11길 15,서울특별시 영등포구 도림동 201-1,37.51080043,126.8967607,2023-09-01
문래동,서울특별시 영등포구 도림로141길 17,서울특별시 영등포구 문래동2가 56-3,37.51381216,126.8921546,2023-09-01
문래동,서울특별시 영등포구 선유로3길 21,서울특별시 영등포구 문래동5가 19-8,37.51583439,126.8852923,2023-09-01
문래동,서울특별시 영등포구 선유로 28,서울특별시 영등포구 문래동4가 10-4,37.51640521,126.8887147,2023-09-01
문래동,서울특별시 영등포구 영등포로20길 22-8,서울특별시 영등포구 문래동3가 82-12,37.51995006,126.8918587,2023-09-01
문래동,서울특별시 영등포구 도림로128가길 1,서울특별시 영등포구 문래동3가 54-5,37.51442403,126.8957676,2023-09-01
양평제1동,서울특별시 영등포구 선유로24길 3-3,서울특별시 영등포구 양평동1가 31-6,37.52309187,126.890704,2023-09-01
양평제1동,서울특별시 영등포구 선유서로30길 30,서울특별시 영등포구 양평동1가 218,37.52461195,126.8892524,2023-09-01
양평제1동,서울특별시 영등포구 선유서로24길 21,서울특별시 영등포구 양평동1가 211-1,37.52362544,126.8883802,2023-09-01
양평제1동,서울특별시 영등포구 선유동1로 23,서울특별시 영등포구 양평동1가 89-1,37.52424976,126.8916912,2023-09-01
